Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month_Name,Week_of_Year,Quarter,christmas_week,is_christmas_week,Cleaned_Weekly_Sales
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,February,5,1,51,0,1643690.9
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,February,6,1,51,0,1641957.44
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,February,7,1,51,0,1611968.17
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,February,8,1,51,0,1409727.59
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,March,9,1,51,0,1554806.68
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,March,10,1,51,0,1439541.59
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,March,11,1,51,0,1472515.79
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,March,12,1,51,0,1404429.92
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,April,13,2,51,0,1594968.28
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,April,14,2,51,0,1545418.53
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,April,15,2,51,0,1466058.28
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,April,16,2,51,0,1391256.12
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,April,17,2,51,0,1425100.71
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,May,18,2,51,0,1603955.12
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,May,19,2,51,0,1494251.5
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,May,20,2,51,0,1399662.07
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,May,21,2,51,0,1432069.95
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,June,22,2,51,0,1615524.71
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,June,23,2,51,0,1542561.09
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,June,24,2,51,0,1503284.06
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,June,25,2,51,0,1422711.6
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,July,26,3,51,0,1492418.14
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,July,27,3,51,0,1546074.18
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,July,28,3,51,0,1448938.92
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,July,29,3,51,0,1385065.2
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,July,30,3,51,0,1371986.6
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,August,31,3,51,0,1605491.78
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,August,32,3,51,0,1508237.76
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,August,33,3,51,0,1513080.49
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,August,34,3,51,0,1449142.92
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,September,35,3,51,0,1540163.53
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,September,36,3,51,0,1507460.69
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,September,37,3,51,0,1430378.67
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,September,38,3,51,0,1351791.03
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,October,39,4,51,0,1453329.5
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,October,40,4,51,0,1508239.93
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,October,41,4,51,0,1459409.1
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,October,42,4,51,0,1345454.0
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,October,43,4,51,0,1384209.22
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,November,44,4,51,0,1551659.28
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,November,45,4,51,0,1494479.49
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,November,46,4,51,0,1483784.18
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,November,47,4,51,0,1955624.11
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,December,48,4,51,0,1548033.78
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,December,49,4,51,0,1682614.26
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,December,50,4,51,1,1891034.93
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,December,51,4,51,0,2387950.2
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,December,52,4,51,0,1367320.01
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,January,1,1,51,0,1444732.28
1,2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,2011,January,2,1,51,0,1391013.96
1,2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,2011,January,3,1,51,0,1327405.42
1,2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,2011,January,4,1,51,0,1316899.31
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2011,February,5,1,51,0,1606629.58
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,February,6,1,51,0,1649614.93
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2011,February,7,1,51,0,1686842.78
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2011,February,8,1,51,0,1456800.28
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,2011,March,9,1,51,0,1636263.41
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,March,10,1,51,0,1553191.63
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,2011,March,11,1,51,0,1576818.06
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,2011,March,12,1,51,0,1541102.38
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,2011,April,13,2,51,0,1495064.75
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,April,14,2,51,0,1614259.35
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,2011,April,15,2,51,0,1559889.0
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,2011,April,16,2,51,0,1564819.81
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,2011,April,17,2,51,0,1455090.69
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,May,18,2,51,0,1629391.28
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,2011,May,19,2,51,0,1604775.58
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,2011,May,20,2,51,0,1428218.27
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,2011,May,21,2,51,0,1466046.67
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,2011,June,22,2,51,0,1635078.41
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,June,23,2,51,0,1588948.32
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,2011,June,24,2,51,0,1532114.86
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,2011,June,25,2,51,0,1438830.15
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,2011,July,26,3,51,0,1488538.09
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,July,27,3,51,0,1534849.64
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,2011,July,28,3,51,0,1455119.97
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,2011,July,29,3,51,0,1396926.82
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,2011,July,30,3,51,0,1352219.79
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,2011,August,31,3,51,0,1624383.75
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,August,32,3,51,0,1525147.09
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,2011,August,33,3,51,0,1530761.43
1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,2011,August,34,3,51,0,1464693.46
1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,2011,September,35,3,51,0,1550229.22
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,September,36,3,51,0,1540471.24
1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,2011,September,37,3,51,0,1514259.78
1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,2011,September,38,3,51,0,1380020.27
1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,2011,September,39,3,51,0,1394561.83
1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,October,40,4,51,0,1630989.95
1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,2011,October,41,4,51,0,1493525.93
1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,2011,October,42,4,51,0,1502562.78
1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,2011,October,43,4,51,0,1445249.09
1,2011-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,2011,November,44,4,51,0,1697229.58
1,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,November,45,4,51,0,1594938.89
1,2011-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,2011,November,46,4,51,0,1539483.7
1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,2011,November,47,4,51,0,2033320.66
1,2011-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,2011,December,48,4,51,0,1584083.95
1,2011-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,December,49,4,51,0,1799682.38
1,2011-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,2011,December,50,4,51,1,1881176.67
1,2011-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,2011,December,51,4,51,0,2270188.99
1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,2011,December,52,4,51,0,1497462.72
1,2012-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,2012,January,1,1,52,0,1550369.92
1,2012-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,2012,January,2,1,52,0,1459601.17
